2,2008-12-31 23:11:48,2009-01-01 01:45:44,2
2,2009-01-01 00:02:55,2009-01-01 17:20:58,3
2,2019-05-31 23:43:38,2019-05-31 23:51:09,12
2,2019-06-01 00:20:06,2019-06-01 00:32:46,121
1,2019-06-01 00:24:26,2019-06-01 01:37:35,33
1,2019-06-01 01:18:33,2019-06-01 02:07:02,28
2,2019-06-01 01:15:18,2019-06-01 02:24:18,63
2,2019-06-01 02:07:28,2019-06-01 02:56:42,25
1,2019-06-01 02:26:22,2019-06-01 02:57:51,2
2,2019-06-01 03:49:48,2019-06-01 03:38:52,12
1,2019-06-01 03:32:45,2019-06-01 03:58:58,3
2,2019-06-01 04:31:42,2019-06-01 05:06:27,39
1,2019-06-01 04:12:48,2019-06-01 05:25:03,12
2,2019-06-01 05:36:46,2019-06-01 06:25:18,112
1,2019-06-01 05:00:23,2019-06-01 06:34:16,41
2,2019-06-01 06:35:58,2019-06-01 07:35:30,170
1,2019-06-01 06:28:56,2019-06-01 07:10:31,40
1,2019-06-01 07:20:37,2019-06-01 07:31:16,41
2,2019-06-01 07:52:17,2019-06-01 07:55:53,143
2,2019-06-01 08:12:07,2019-06-01 09:33:14,90
1,2019-06-01 08:36:09,2019-06-01 09:42:38,30
2,2019-06-01 09:00:02,2019-06-01 10:28:16,77
1,2019-06-01 09:41:11,2019-06-01 09:33:16,32
2,2019-06-01 10:28:06,2019-06-01 11:49:38,129
1,2019-06-01 10:11:00,2019-06-01 10:37:15,27
2,2019-06-01 11:40:21,2019-06-01 12:37:26,166
1,2019-06-01 11:10:46,2019-06-01 12:44:28,59
1,2019-06-01 12:16:24,2019-06-01 13:36:20,69
2,2019-06-01 12:49:35,2019-06-01 13:38:52,222
1,2019-06-01 13:10:53,2019-06-01 14:08:24,97
2,2019-06-01 13:11:54,2019-06-01 14:45:34,318
2,2019-06-01 14:39:53,2019-06-01 16:04:51,342
1,2019-06-01 14:33:08,2019-06-01 15:13:34,125
2,2019-06-01 15:01:23,2019-06-01 16:37:52,365
1,2019-06-01 15:56:51,2019-06-01 17:09:54,157
1,2019-06-01 16:17:21,2019-06-01 17:08:58,141
2,2019-06-01 16:32:38,2019-06-02 16:39:59,308
2,2019-06-01 17:02:44,2019-06-01 18:43:02,317
1,2019-06-01 17:56:07,2019-06-01 18:35:09,147
1,2019-06-01 18:53:34,2019-06-01 19:06:26,151
2,2019-06-01 18:51:24,2019-06-01 19:09:09,291
1,2019-06-01 19:54:18,2019-06-01 20:15:45,93
2,2019-06-01 19:19:56,2019-06-01 20:17:04,250
2,2019-06-01 20:12:33,2019-06-01 21:40:23,227
1,2019-06-01 20:15:57,2019-06-01 21:13:05,118
2,2019-06-01 21:00:01,2019-06-01 22:45:37,178
1,2019-06-01 21:53:13,2019-06-01 22:00:24,39
2,2019-06-01 22:41:17,2019-06-01 23:57:41,165
1,2019-06-01 22:01:45,2019-06-01 22:43:44,20
2,2019-06-01 23:18:48,2019-06-02 00:31:47,125
1,2019-06-01 23:01:15,2019-06-01 23:19:33,29
2,2019-06-02 00:04:43,2019-06-02 01:22:37,69
1,2019-06-02 00:32:27,2019-06-02 00:55:42,33
1,2019-06-02 01:49:21,2019-06-02 01:55:42,16
2,2019-06-02 01:39:57,2019-06-02 01:40:15,35
2,2019-06-02 02:26:33,2019-06-02 03:15:41,11
1,2019-06-02 02:27:13,2019-06-02 03:07:31,7
1,2019-06-02 03:06:28,2019-06-02 04:07:58,25
2,2019-06-02 03:18:39,2019-06-02 04:21:25,42
1,2019-06-02 04:51:59,2019-06-02 04:41:48,29
